Sequence_ID,Motif_ID,Position,Direction,Score,P-value,Full/ Half-site
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,2577,+,0.602,0.0327967203279672,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,874,+,0.598,0.0327967203279672,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,368,-,1.587,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,368,+,1.285,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1250,-,-0.466,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2460,-,-0.576,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1299,-,-0.725,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,611,-,-1.079,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1522,-,-1.184,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,678,-,-1.246,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,999,-,-1.346,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2043,-,-1.397,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,865,-,-1.399,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,358,-,-1.46,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2314,-,-1.477,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1394,-,-1.487,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1964,-,-1.517,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1514,-,-1.526,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2475,-,-1.601,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1260,-,-1.642,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,571,-,-1.659,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,430,-,-1.702,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2558,-,-1.705,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,180,-,-1.721,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2425,-,-1.766,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,317,-,-1.772,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,917,-,-1.817,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,25,-,-1.818,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,682,-,-1.826,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1689,-,-1.84,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,563,-,-1.858,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2248,-,-1.887,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,249,-,-1.891,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1703,-,-1.9,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,973,-,-1.953,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2365,-,-1.97,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,167,-,-1.976,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,174,-,-1.994,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2578,-,-2.01,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1380,-,-2.012,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1118,-,-2.047,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2238,-,-2.051,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,459,-,-2.063,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,528,-,-2.068,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,7,-,-2.08,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,488,-,-2.094,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,688,-,-2.097,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,912,-,-2.113,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,378,-,-2.135,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1136,-,-2.148,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1477,-,-2.149,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1785,-,-2.15,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2316,-,-2.151,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2418,-,-2.167,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,63,-,-2.167,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,711,-,-2.188,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,775,-,-2.199,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1309,-,-2.202,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1971,-,-2.207,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2306,-,-2.208,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1491,-,-2.21,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,717,-,-2.215,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2185,-,-2.231,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,383,-,-2.234,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1577,-,-2.247,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2071,-,-2.264,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1936,-,-2.269,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2180,-,-2.277,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1652,-,-2.282,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1659,-,-2.283,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2155,-,-2.286,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,170,-,-2.294,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,553,-,-2.297,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,875,-,-2.302,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,84,-,-2.304,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2162,-,-2.306,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,330,-,-2.306,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1312,-,-2.308,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,524,-,-2.31,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2134,-,-2.311,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1666,-,-2.312,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,749,-,-2.312,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1679,-,-2.338,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,411,-,-2.339,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2144,-,-2.341,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1532,-,-2.343,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,652,-,-2.358,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,116,-,-2.359,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2029,-,-2.363,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,590,-,-2.365,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,56,-,-2.365,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1085,-,-2.377,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,218,-,-2.379,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1255,-,-2.385,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1676,-,-2.391,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1912,-,-2.392,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2208,-,-2.393,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,782,-,-2.397,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,922,-,-2.41,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,92,-,-2.414,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1550,-,-2.422,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1274,-,-2.435,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,983,-,-2.438,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2442,-,-2.452,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,197,-,-2.464,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2410,-,-2.465,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1090,-,-2.48,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1775,-,-2.488,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,752,-,-2.49,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,870,-,-2.492,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1131,-,-2.496,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,573,-,-2.496,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,157,-,-2.502,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,307,-,-2.51,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,502,-,-2.513,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,621,-,-2.521,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1540,-,-2.522,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,666,-,-2.523,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,311,-,-2.528,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,647,-,-2.534,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1671,-,-2.538,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2025,-,-2.558,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2195,-,-2.567,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,253,-,-2.567,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2542,-,-2.569,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1212,-,-2.573,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,640,-,-2.577,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2074,-,-2.58,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1926,-,-2.584,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,565,-,-2.586,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2446,-,-2.587,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1104,-,-2.594,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1180,-,-2.595,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1370,-,-2.596,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,561,-,-2.597,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1162,-,-2.6,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2098,-,-2.603,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,466,-,-2.605,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1586,-,-2.609,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,664,-,-2.61,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1909,-,-2.612,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,292,-,-2.621,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,195,-,-2.621,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,106,-,-2.621,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1527,-,-2.635,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1713,-,-2.639,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1795,-,-2.642,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,818,-,-2.651,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1701,-,-2.658,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,104,-,-2.66,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2285,-,-2.67,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2234,-,-2.677,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1067,-,-2.678,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1035,-,-2.678,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1957,-,-2.68,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1878,-,-2.68,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1501,-,-2.681,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,205,-,-2.683,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2470,-,-2.687,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1824,-,-2.69,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,823,-,-2.693,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,512,-,-2.697,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1696,-,-2.698,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1479,-,-2.709,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,963,-,-2.711,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2165,-,-2.72,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,853,-,-2.72,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,735,-,-2.724,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1474,-,-2.728,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1435,-,-2.732,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1860,-,-2.743,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2172,-,-2.747,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1961,-,-2.747,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,826,-,-2.748,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,507,-,-2.748,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,420,-,-2.749,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1759,-,-2.757,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1517,-,-2.761,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,754,-,-2.763,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,732,-,-2.763,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,442,-,-2.767,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,594,-,-2.771,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1029,-,-2.773,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1814,-,-2.778,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,930,-,-2.78,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1820,-,-2.782,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,608,-,-2.783,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1790,-,-2.784,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1719,-,-2.784,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1615,-,-2.791,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1804,-,-2.793,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2341,-,-2.802,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2214,-,-2.804,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,244,-,-2.811,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2363,-,-2.814,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1445,-,-2.815,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,29,-,-2.815,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2145,-,-2.816,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1998,-,-2.816,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1737,-,-2.82,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,944,-,-2.82,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2080,-,-2.826,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1482,-,-2.826,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,535,-,-2.827,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,815,-,-2.829,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1596,-,-2.832,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,821,-,-2.834,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,567,-,-2.836,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2198,-,-2.84,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1289,-,-2.843,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,601,-,-2.845,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2296,-,-2.846,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1294,-,-2.851,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,522,-,-2.852,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1322,-,-2.853,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,745,-,-2.855,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,114,-,-2.858,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1371,-,-2.861,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,215,-,-2.863,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1771,-,-2.864,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,727,-,-2.869,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2326,-,-2.874,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1080,-,-2.875,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,221,-,-2.875,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2333,-,-2.876,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,2058,-,-2.884,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,39,-,-2.886,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,940,-,-2.89,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,779,-,-2.892,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,110,-,-2.894,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,397,-,-2.902,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,800,-,-2.903,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1916,-,-2.906,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1587,-,-2.906,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,1306,-,-2.91,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,979,-,-2.912,9.999000099990002e-05,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.2,404,-,-2.914,9.999000099990002e-05,1
